"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/15/2023","29","Ozone","Mille Lacs Band","27-095-3051","AirNow",".","29","7","17","."
"10/16/2023","39","PM2.5","Apple Valley","27-037-0470","AirNow",".","25","36","39","."
"10/17/2023","40","PM10","Pacific Street","27-053-0910","AirNow",".","34","40","38","."
"10/18/2023","27","Ozone","Mille Lacs Band","27-095-3051","AirNow",".","27","26","25","."
"10/19/2023","31","PM2.5","Apple Valley","27-037-0470","AirNow",".","27","13","31","."
"10/20/2023","49","PM2.5","Andersen School","27-053-0963","AirNow",".","34","43","49","."
"10/21/2023","28","Ozone","Anoka County Airport","27-003-1002","AirNow",".","28","16","20","."
"10/22/2023","34","PM2.5","Andersen School","27-053-0963","AirNow",".","28","16","34","."
"10/23/2023","30","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","30","22","30","."
"10/24/2023","48","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","16","21","48","."
"10/25/2023","44","PM2.5","Apple Valley","27-037-0470","AirNow",".","16","17","44","."
"10/26/2023","25","PM2.5","Apple Valley","27-037-0470","AirNow",".","9","9","25","."
"10/27/2023","29","Ozone","Anoka County Airport","27-003-1002","AirNow",".","29","8","17","."
"10/28/2023","54","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","30","15","54","."
"10/29/2023","43","PM2.5","Apple Valley","27-037-0470","AirNow",".","31","12","43","."
"10/30/2023","32","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","31","20","32","."
"10/31/2023","29","Ozone","Anoka County Airport","27-003-1002","AirNow",".","29","12","23","."
"11/01/2023","37","PM10","Pacific Street","27-053-0910","AirNow",".","21","37","30","."
"11/02/2023","63","PM2.5","Andersen School","27-053-0963","AirNow",".","27","41","63","."
"11/03/2023","62","PM2.5","Andersen School","27-053-0963","AirNow",".","30","44","62","."
"11/04/2023","76","PM2.5","Apple Valley","27-037-0470","AirNow",".","27","31","76","."
"11/05/2023","61","PM2.5","Andersen School","27-053-0963","AirNow",".","31","33","61","."
"11/06/2023","31","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","21","16","31","."
"11/07/2023","20","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","18","10","20","."
"11/08/2023","28","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","20","16","28","."
"11/09/2023","30","Ozone","Anoka County Airport","27-003-1002","AirNow",".","30","11","15","."
"11/10/2023","21","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","21","9","17","."
"11/11/2023","35","PM2.5","Andersen School","27-053-0963","AirNow",".","23","24","35","."
"11/12/2023","29","PM2.5","Apple Valley","27-037-0470","AirNow",".","28","21","29","."
"11/13/2023","29","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","29","18","20","."
"11/14/2023","74","PM10","Pacific Street","27-053-0910","AirNow",".","39","74","28","."
"11/15/2023","40","PM2.5","Harding High School","27-123-0871","AirNow",".","27","37","40","."
"11/16/2023","50","PM10","Pacific Street","27-053-0910","AirNow",".","32","50","35","."
"11/17/2023","28","PM10","Pacific Street","27-053-0910","AirNow",".","28","28","24","."
"11/18/2023","63","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","27","32","63","."
"11/19/2023","58","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","31","23","58","."
"11/20/2023","31","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","26","16","31","."
"11/21/2023","30","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","22","12","30","."
"11/22/2023","33","PM10","Pacific Street","27-053-0910","AirNow",".","23","33","20","."
"11/23/2023","34","Ozone","Anoka County Airport","27-003-1002","AirNow",".","34","7","11","."
"11/24/2023","28","Ozone","Anoka County Airport","27-003-1002","AirNow",".","28","13","27","."
"11/25/2023","33","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","25","17","33","."
"11/26/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","12","23","."
"11/27/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","11","15","."
"11/28/2023","26","PM2.5","Harding High School","27-123-0871","AirNow",".","24","24","26","."
"11/29/2023","32","PM2.5","Andersen School","27-053-0963","AirNow",".","22","25","32","."
"11/30/2023","44","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","28","20","44","."
"12/01/2023","38","PM10","Bottineau / Marshall Terrace","27-053-1909","AirNow",".","26","38","33","."
"12/02/2023","45","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","28","20","45","."
"12/03/2023","53","PM2.5","Andersen School","27-053-0963","AirNow",".","21","16","53","."
"12/04/2023","62","PM2.5","Apple Valley","27-037-0470","AirNow",".","17","26","62","."
"12/05/2023","62","PM2.5","Andersen School","27-053-0963","AirNow",".","22","22","62","."
